id,cluster_id,cluster_name,distance_from_centroid
1164,0,High-Quality Compounders,1.1024820495224419
769,0,High-Quality Compounders,0.18840278855207673
867,0,High-Quality Compounders,0.8021675381609744
757,0,High-Quality Compounders,0.07642192370216636
494,0,High-Quality Compounders,0.2545636633524668
745,0,High-Quality Compounders,0.18534762672283736
505,0,High-Quality Compounders,0.8429777776307726
459,0,High-Quality Compounders,0.1780356931300971
868,0,High-Quality Compounders,0.8021675381609744
105,0,High-Quality Compounders,0.12651053310242397
1104,0,High-Quality Compounders,0.18317373039900267
177,0,High-Quality Compounders,0.05469789034156873
1083,0,High-Quality Compounders,0.17959683076292537
937,0,High-Quality Compounders,0.28588875598034574
283,0,High-Quality Compounders,0.17709512590441215
1032,0,High-Quality Compounders,0.12156914104011035
82,0,High-Quality Compounders,0.3808537504778461
121,0,High-Quality Compounders,0.18010786061058318
307,0,High-Quality Compounders,0.35003067812592054
1128,0,High-Quality Compounders,0.16926360421304582
1084,0,High-Quality Compounders,0.17959683076292537
916,0,High-Quality Compounders,0.05596703587460938
917,0,High-Quality Compounders,0.05596703587460938
189,0,High-Quality Compounders,0.18724011045856612
120,0,High-Quality Compounders,0.18010786061058318
1020,0,High-Quality Compounders,0.17478794974965026
199,0,High-Quality Compounders,0.4284373450474575
223,0,High-Quality Compounders,0.08204185652039407
295,0,High-Quality Compounders,1.8302737517157346
984,0,High-Quality Compounders,0.21265097482838377
1008,0,High-Quality Compounders,0.16664255782549114
211,0,High-Quality Compounders,2.392038000601117
235,2,Value Cyclicals,2.2282013963988296
1044,0,High-Quality Compounders,0.10158750190429969
1116,0,High-Quality Compounders,0.1283255882054561
331,3,Distressed or Turnaround,0.1942215530099522
247,0,High-Quality Compounders,0.1907710732053874
319,0,High-Quality Compounders,0.4856012493971427
58,0,High-Quality Compounders,0.06771513537116622
949,0,High-Quality Compounders,0.12495069093997772
1056,0,High-Quality Compounders,0.07231800351089537
961,0,High-Quality Compounders,0.18594640273430266
1068,0,High-Quality Compounders,0.18251012731148433
70,0,High-Quality Compounders,0.06771513537116622
259,0,High-Quality Compounders,0.1859617012034683
271,0,High-Quality Compounders,0.11964071354347464
869,0,High-Quality Compounders,0.8021675381609744
343,0,High-Quality Compounders,0.168619809156304
165,0,High-Quality Compounders,0.8264471170059402
144,0,High-Quality Compounders,0.18301939918587826
145,0,High-Quality Compounders,0.18301939918587826
985,0,High-Quality Compounders,0.19689689364066185
758,0,High-Quality Compounders,0.09078340380167348
448,0,High-Quality Compounders,1.663915455338098
602,0,High-Quality Compounders,0.13875539165491763
248,0,High-Quality Compounders,0.18982303133223458
483,3,Distressed or Turnaround,1.384044589908029
236,2,Value Cyclicals,3.0914864891389366
1153,0,High-Quality Compounders,0.1615576904658694
1165,0,High-Quality Compounders,1.1897193558297314
645,0,High-Quality Compounders,0.09278471989952643
71,0,High-Quality Compounders,0.09181275529913377
